WN_30_id	UKC_local_concept_id
00269486-a	75454
00269580-a	75455
00269758-a	75456
00269894-a	75457
00269989-a	75458
00270496-a	75459
00270732-a	75460
00270856-a	75461
00271022-a	75462
00271208-a	75463
00271288-a	75464
00271419-a	75465
00271580-a	75466
00271813-a	75468
00271966-a	75469
00272069-a	75470
00272172-a	75471
00272410-a	75472
00272555-a	75473
00272771-a	75474
00272950-a	75475
00273082-a	75476
00273652-a	75477
00273901-a	75478
00274068-a	75479
00274291-a	75480
00274373-a	75481
00274551-a	75482
00274698-a	75483
00274833-a	75484
00274971-a	75485
00275106-a	75486
00275290-a	75487
00275486-a	75488
00275764-a	75489
00275985-a	75490
00276226-a	75491
00276355-a	75492
00276472-a	75493
