concept_id,wn30_id,domain
100618,01613589-v,verb.contact
100619,01613732-v,verb.contact
10062,01999048-n,noun.animal
100620,01613921-v,verb.contact
100621,01614079-v,verb.contact
100622,01614235-v,verb.contact
100623,01614426-v,verb.contact
100624,01614581-v,verb.contact
100625,01614774-v,verb.contact
100626,01614907-v,verb.contact
100627,01615020-v,verb.contact
100628,01615190-v,verb.contact
100629,01615354-v,verb.contact
10063,01999186-n,noun.animal
100630,01615457-v,verb.contact
100631,01615602-v,verb.contact
100632,01615695-v,verb.contact
100633,01615789-v,verb.contact
100634,01615906-v,verb.contact
100635,01615991-v,verb.contact
100636,01616151-v,verb.contact
100637,01616293-v,verb.contact
100638,01616460-v,verb.contact
100639,01617192-v,verb.creation
10064,01999374-n,noun.animal
100640,01618468-v,verb.creation
100641,01618547-v,verb.creation
100642,01618693-v,verb.creation
100643,01618884-v,verb.creation
100644,01619014-v,verb.creation
100645,01619231-v,verb.creation
100646,01619354-v,verb.creation
100647,01619725-v,verb.creation
100648,01619929-v,verb.creation
100649,01620436-v,verb.creation
10065,01999767-n,noun.animal
100650,01550572-a,adj.all
100651,01620854-v,verb.creation
100652,01621084-v,verb.creation
100653,01621219-v,verb.creation
100654,01621418-v,verb.creation
100655,01621555-v,verb.creation
100656,01622445-v,verb.creation
100657,01622595-v,verb.creation
100658,01622795-v,verb.creation
100659,01623027-v,verb.creation
10066,02000036-n,noun.animal
100660,01623365-v,verb.creation
100661,01623489-v,verb.creation
100662,01623656-v,verb.creation
100663,01623792-v,verb.creation
100664,01623967-v,verb.creation
100665,01624169-v,verb.creation
100666,01624321-v,verb.creation
100667,01624449-v,verb.creation
100668,01624568-v,verb.creation
100669,01624743-v,verb.creation
10067,02000195-n,noun.animal
100670,01624897-v,verb.creation
100671,01625044-v,verb.creation
100672,01625206-v,verb.creation
100673,01625343-v,verb.creation
100674,01625532-v,verb.creation
100675,01625666-v,verb.creation
100676,01625891-v,verb.creation
100677,01625985-v,verb.creation
100678,01626138-v,verb.creation
100679,01626420-v,verb.creation
10068,02000354-n,noun.animal
100680,01626600-v,verb.creation
100681,01626705-v,verb.creation
