source,target,relation
concept:100256,domain:verb.contact,belongs_to_domain
concept:100257,synset:01545649-v,mapped_to_synset
concept:100257,domain:verb.contact,belongs_to_domain
concept:100258,synset:01545883-v,mapped_to_synset
concept:100258,domain:verb.contact,belongs_to_domain
concept:100259,synset:01546111-v,mapped_to_synset
concept:100259,domain:verb.contact,belongs_to_domain
concept:10026,synset:01992773-n,mapped_to_synset
concept:10026,domain:noun.animal,belongs_to_domain
concept:100260,synset:01546513-v,mapped_to_synset
concept:100260,domain:verb.contact,belongs_to_domain
concept:100261,synset:01546633-v,mapped_to_synset
concept:100261,domain:verb.contact,belongs_to_domain
