id,type,concept_id,wn30_id,domain,language,text,char,ipa,audio_path,char_type,case
concept:100235,Concept,100235,,,,,,,,,
synset:01541000-v,Synset,,01541000-v,,,,,,,,
concept:100236,Concept,100236,,,,,,,,,
synset:01541231-v,Synset,,01541231-v,,,,,,,,
concept:100237,Concept,100237,,,,,,,,,
synset:01541467-v,Synset,,01541467-v,,,,,,,,
concept:100238,Concept,100238,,,,,,,,,
synset:01541579-v,Synset,,01541579-v,,,,,,,,
concept:100239,Concept,100239,,,,,,,,,
synset:00429642-v,Synset,,00429642-v,,,,,,,,
domain:verb.change,Domain,,,verb.change,,,,,,,
concept:10024,Concept,10024,,,,,,,,,
synset:01992423-n,Synset,,01992423-n,,,,,,,,
concept:100240,Concept,100240,,,,,,,,,
synset:01542056-v,Synset,,01542056-v,,,,,,,,
concept:100241,Concept,100241,,,,,,,,,
synset:01542207-v,Synset,,01542207-v,,,,,,,,
concept:100242,Concept,100242,,,,,,,,,
synset:01542525-v,Synset,,01542525-v,,,,,,,,
concept:100243,Concept,100243,,,,,,,,,
synset:01542668-v,Synset,,01542668-v,,,,,,,,
concept:100244,Concept,100244,,,,,,,,,
synset:01542842-v,Synset,,01542842-v,,,,,,,,
concept:100245,Concept,100245,,,,,,,,,
synset:01543000-v,Synset,,01543000-v,,,,,,,,
concept:100246,Concept,100246,,,,,,,,,
